Country,Coffee type,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,Total_domestic_consumption
Angola,Robusta/Arabica,1200,1800,2100,1200,1500,600,1200,2400,1800,1200,1200,1200,1200,900,900,900,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,46500
Bolivia (Plurinational State of),Arabica,1500,1620,1650,1710,1770,1830,1890,1950,1980,2040,2100,2190,2250,2310,2700,2460,2520,2610,2700,2760,2850,2940,3030,3120,3210,3300,3420,3510,3600,3660,75180
Brazil,Arabica/Robusta,492000,510000,534000,546000,558000,606000,660000,690000,732000,762000,792000,815400,825000,852000,896760,932280,979860,1026600,1059600,1103400,1147920,1183200,1219800,1205100,1219980,1230480,1273500,1319820,1332000,1320000,27824700
Burundi,Arabica/Robusta,120,96,102,114,120,120,120,120,120,120,120,120,120,120,120,114,93,81,86,83,120,120,120,120,120,120,120,120,120,120,3409
Ecuador,Arabica/Robusta,21000,21000,21000,21000,21000,21000,18000,18000,18000,13800,12000,12000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9300,9300,9300,9300,9300,9300,8940,381540
Indonesia,Robusta/Arabica,74520,76800,79140,81540,84000,86580,89160,91920,94680,97560,100560,120000,106740,109980,120000,150000,169980,199980,199980,199980,199980,220020,234000,255000,265020,273000,279000,285000,288000,288360,4920480
Madagascar,Robusta,21000,18000,21000,21600,9999,10020,10020,10020,10020,3360,5346,7680,13020,19980,28020,28020,28020,28020,28020,28020,28020,27000,25800,24600,23400,22200,21600,21900,22500,22500,588705
Malawi,Arabica,120,120,120,120,120,120,120,120,120,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,2340
Papua New Guinea,Arabica/Robusta,180,180,180,120,120,120,120,120,60,120,120,120,120,120,120,120,120,120,120,120,85,74,102,122,115,108,120,120,120,120,3606
Paraguay,Arabica,900,900,900,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,35100
Peru,Arabica,11400,11400,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,13200,13200,13200,13200,13200,13200,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,402000
Rwanda,Arabica,60,60,60,60,60,60,60,180,180,120,120,120,19,19,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,2138
Timor-Leste,Arabica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,29,29,29,29,29,29,29,29,290
Zimbabwe,Arabica,480,480,480,499,499,396,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,8594
Congo,Robusta,180,160,160,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,5360
Cuba,Arabica,12780,12780,11700,11646,11640,11640,11340,11700,12000,12000,12780,13200,13440,13440,13440,13440,13440,13440,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,12960,384006
Dominican Republic,Arabica/Robusta,19200,19200,19200,19200,19800,21000,19500,19500,19500,19500,19500,20411,20411,20400,22679,22679,22679,22680,22680,22680,22680,22680,22680,22999,23280,23280,23400,23400,23400,22620,642818
Haiti,Arabica,13200,19800,19800,19800,19800,19800,19800,19800,19800,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20400,20700,20700,600600
Philippines,Robusta/Arabica,43200,45000,45000,46200,47400,48600,49860,51180,48600,51720,49200,49260,49740,55020,61200,62400,63600,63600,103200,109200,127500,130500,139500,153000,168000,180000,181800,190800,198000,195000,2807280
Tanzania,Arabica/Robusta,240,210,1152,1050,1050,816,996,1020,1020,840,900,900,900,1620,2220,2820,2820,2820,2820,2820,2820,3537,4302,4408,4603,5523,5478,5500,5520,5700,76425
Zambia,Arabica,90,90,85,60,90,36,60,36,36,36,36,36,36,36,36,36,36,60,60,0,0,0,0,0,0,0,0,0,0,0,991
